,DATETIMEDATA,PM25
1532,2024-03-04 20:00:00,18.693775554199576
1533,2024-03-04 21:00:00,18.570045931940843
1534,2024-03-04 22:00:00,18.761481172688818
1535,2024-03-04 23:00:00,16.670146020042523
1536,2024-03-05 00:00:00,16.82648057523324
1537,2024-03-05 01:00:00,16.561873484039683
1538,2024-03-05 02:00:00,17.07547789110733
1539,2024-03-05 03:00:00,15.71433392873551
1540,2024-03-05 04:00:00,16.436047427386434
1541,2024-03-05 05:00:00,18.17521311791441
1542,2024-03-05 06:00:00,19.773231932517817
1543,2024-03-05 07:00:00,20.648013171769726
1544,2024-03-05 08:00:00,21.418404564834702
1545,2024-03-05 09:00:00,18.864123252102814
1546,2024-03-05 10:00:00,17.24400701758292
1547,2024-03-05 11:00:00,17.078872287480046
1548,2024-03-05 12:00:00,15.872986181066505
1549,2024-03-05 13:00:00,15.335768964451104
1550,2024-03-05 14:00:00,14.698009684684267
1551,2024-03-05 15:00:00,15.49596023564164
1552,2024-03-05 16:00:00,15.398240548524194
1553,2024-03-05 17:00:00,16.3891254560197
1554,2024-03-05 18:00:00,17.043031690285595
1555,2024-03-05 19:00:00,18.595893046065946
1556,2024-03-05 20:00:00,18.68408803345676
1557,2024-03-05 21:00:00,18.57128524585496
1558,2024-03-05 22:00:00,18.789836251160423
1559,2024-03-05 23:00:00,16.66903971145376
1560,2024-03-06 00:00:00,16.84537484656837
1561,2024-03-06 01:00:00,16.590736298687958
1562,2024-03-06 02:00:00,16.799741832388403
1563,2024-03-06 03:00:00,15.747302654198172
1564,2024-03-06 04:00:00,16.47047386312027
1565,2024-03-06 05:00:00,18.18737682944589
1566,2024-03-06 06:00:00,19.78823231438768
1567,2024-03-06 07:00:00,20.95370048645792
1568,2024-03-06 08:00:00,21.44020054359887
1569,2024-03-06 09:00:00,18.88005584691247
1570,2024-03-06 10:00:00,17.317863702541516
1571,2024-03-06 11:00:00,17.2576847757857
1572,2024-03-06 12:00:00,15.911635244797372
1573,2024-03-06 13:00:00,15.5785082723554
1574,2024-03-06 14:00:00,14.550650879005316
1575,2024-03-06 15:00:00,15.531634697470972
1576,2024-03-06 16:00:00,15.418252337920967
1577,2024-03-06 17:00:00,16.673911185972017
1578,2024-03-06 18:00:00,17.525454080595665
1579,2024-03-06 19:00:00,18.686724624534286
1580,2024-03-06 20:00:00,18.995545928845566
1581,2024-03-06 21:00:00,18.313331326604747
1582,2024-03-06 22:00:00,18.54374055447907
1583,2024-03-06 23:00:00,16.769538303335647
1584,2024-03-07 00:00:00,16.91189367004904
1585,2024-03-07 01:00:00,16.417266932901256
1586,2024-03-07 02:00:00,16.649567715566963
1587,2024-03-07 03:00:00,15.266241921767373
1588,2024-03-07 04:00:00,16.36698060902799
1589,2024-03-07 05:00:00,18.25531306185404
1590,2024-03-07 06:00:00,19.830988712421508
1591,2024-03-07 07:00:00,20.837675878269184
1592,2024-03-07 08:00:00,21.6505725450765
1593,2024-03-07 09:00:00,18.616197729428507
1594,2024-03-07 10:00:00,17.472525993525196
1595,2024-03-07 11:00:00,16.99084883185771
1596,2024-03-07 12:00:00,15.908719143573451
1597,2024-03-07 13:00:00,15.090508737077574
1598,2024-03-07 14:00:00,14.909778300959099
1599,2024-03-07 15:00:00,15.342494318378911
1600,2024-03-07 16:00:00,15.548845499426193
1601,2024-03-07 17:00:00,16.402074300556464
1602,2024-03-07 18:00:00,17.260464263181397
1603,2024-03-07 19:00:00,18.60717524802027
1604,2024-03-07 20:00:00,18.71453171526251
1605,2024-03-07 21:00:00,18.501165510361428
1606,2024-03-07 22:00:00,18.972411111290754
1607,2024-03-07 23:00:00,16.830157683684597
